#ID,#faction,#name,#type,#cost,#atk,#end,#ac,#fee,#text,#code,#explain,,
base_00,human,基地车,Construction,0,0,30,NA,0,,none,,,
comm_human_01,human,炮击,Target,2,3,,,,对一个单位造成2点伤害，抽一张牌。,<self:Cast+RandomDamage-2-1-3>|<self:Cast+DrawCardsRandom-1-1>,,todo,
comm_human_02,human,遏制生长,NonTarget,3,4,,,,压制所有敌人。,,压制,todo,
comm_human_03,human,清理植被,NonTarget,2,3,,,,对前线所有敌人造成3点伤害。,<self:Cast+AOEDamage-2-2-2>,,,
comm_human_04,human,整装待发,NonTarget,4,3,,,,你的所有单位与基地恢复3点耐久。抽一张牌。,,,todo,
comm_human_05,human,定点打击,Target,4,3,,,,造成6点伤害。,<self:Cast+TargetDamage-1-6>,,,
comm_human_06,human,根除,Target,4,5,,,,抽一张牌，对一个单位造成等同于其费用的伤害。,,,todo,
comm_human_07,human,增援,NonTarget,5,2,,,,将3个费用低于（4）的单位招募至前线,,招募,todo,
comm_human_08,human,防御工事,Target,3,4,,,,恢复8点耐久。,,,todo,
comm_human_09,human,逃生,Target,3,3,,,,将一个单位移回其所有者的卡组。,,,todo,
comm_human_10,human,播撒农药,NonTarget,6,2,,,,将所有处于前线的单位移回其所有者的卡组。,,,,
comm_human_11,human,抢修,Target,2,1,,,,恢复2点耐久。将一张抢修加入你的手牌。,,,,
comm_human_12,human,地毯式轰炸,NonTarget,7,3,,,,对敌方所有单位造成4点伤害,,,,
comm_human_13,human,环卡瓦兰,NonTarget,5,2,,,,压制所有处于前线的敌方单位，将1个重装单位招募至前线。,<self:Cast+AOERetreat-1-2>|<self:Cast+RecruitByCategory-3-3-2-1>,压制、重装、前线,todo,
comm_human_14,human,势不可挡,NonTarget,4,3,,,,修复所有处于前线的友方单位，并使其攻击计时归零。,,,,
comm_human_15,human,运输补给,NonTarget,3,4,,,,抽两张牌。,<self:Cast+DrawCardsRandom-1-2>,,,
